[22:39:11] - C:\Developpement\Github\Universal-XML-Scraper2\Universal XML Scraper V2.au3 (In Progress)
[22:39:11] - WIN_10(X64) - 040C
[22:39:11] - > Dev version
[22:39:11] - Starting files installation
[22:39:11] - > Ending files installation
[22:39:11] - > Verbose LVL : 3
[22:39:11] - > Path to ini : C:\Developpement\Github\Universal-XML-Scraper2\UXS-config.ini
[22:39:11] - > Path to log : C:\Developpement\Github\Universal-XML-Scraper2\log.txt
[22:39:11] - > Path to language : C:\Developpement\Github\Universal-XML-Scraper2\LanguageFiles
[22:39:11] - Language Selected : 040c
[22:39:11] - > Update Checking
[22:39:12] - > File Downloaded : C:\Developpement\Github\Universal-XML-Scraper2\changelog.txt
[22:39:12] - > -In 1 try and 1.03s
[22:39:12] - Local : In Progress - Github : 1.5.0.11
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper(MIX)-Recalbox v4
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v0
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v4
[22:39:12] - Profil selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper-RecalboxV4.xml
[22:39:12] - --------------------------------------------------------------------------------
[22:39:12] - http://www.screenscraper.fr/api/systemesListe.php?devid=Screech&devpassword=Screech201601281533y&softname=UniversalXMLScraper(TestDev)&output=XML
[22:39:12] - --------------------------------------------------------------------------------
[22:39:19] - > File Downloaded : C:\Developpement\Github\Universal-XML-Scraper2\Ressources\systemlist.xml
[22:39:19] - > -In 1 try and 6.95s
[22:39:19] - > systemlist.xml Opened
[22:39:19] - > GUI Constructed
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Source_RootPath) = \\SYNO-SCREECH\Emulation\roms
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_XMLName) = gamelist.xml
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_RomPath) = ./
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Source_ImagePath) = downloaded_images
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_ImagePath) = ./downloaded_images/
[22:39:19] - > _XML_GetValue (Profil/General/Source_Image) = Screenscraper.jpg
[22:39:19] - > _XML_GetValue (Profil/General/Target_Image) = RecalboxV4.jpg
[22:39:19] - > SSH Enable
[22:39:19] - > _XML_GetValue (Profil/Plink/Command) = 4 Elements
[22:39:19] - > GUI Refresh
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper(MIX)-Recalbox v4
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v0
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v4
[22:39:29] - > Value selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper(MIX)-RecalboxV4.xml
[22:39:29] - Profil selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper(MIX)-RecalboxV4.xml
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Source_RootPath) = \\SYNO-SCREECH\Emulation\roms
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_XMLName) = gamelist.xml
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_RomPath) = ./
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Source_ImagePath) = downloaded_images
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_ImagePath) = ./downloaded_images/
[22:39:29] - > _XML_GetValue (Profil/General/Source_Image) = Screenscraper (MIX).jpg
[22:39:29] - > _XML_GetValue (Profil/General/Target_Image) = RecalboxV4.jpg
[22:39:29] - > SSH Enable
[22:39:29] - > _XML_GetValue (Profil/Plink/Command) = 4 Elements
[22:39:29] - > GUI Refresh
[22:39:32] - > $vTarget_XMLName = \\SYNO-SCREECH\Emulation\roms\sega32x\gamelist.xml
[22:39:32] - > $vSource_RomPath = \\SYNO-SCREECH\Emulation\roms\sega32x
[22:39:32] - > $vTarget_RomPath = ./
[22:39:32] - > $vSource_ImagePath = \\SYNO-SCREECH\Emulation\roms\sega32x\downloaded_images
[22:39:32] - > $vTarget_ImagePath = ./downloaded_images/
[22:39:32] - > $vScrape_Mode = 0
[22:39:32] - > $MissingRom_Mode = 0
[22:39:32] - > $CountryPic_Mode = 0
[22:39:32] - > GUI Desactivated (Scrape in progress)
[22:39:32] - > vScrape_Mode = 0 And \\SYNO-SCREECH\Emulation\roms\sega32x\gamelist.xml = 30432 ---> _XML_Make
[22:39:32] - > _XML_GetValue (Profil/Root/Target_Value) = gameList
[22:39:32] - > _XML_GetValue (Data/systeme/noms/*) = 138 Elements
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Megadrive"]/id) = 1
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Genesis"]/id) = 1
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Master System"]/id) = 2
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "NES"]/id) = 3
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Family Computer"]/id) = 3
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super Nintendo"]/id) = 4
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super Famicom"]/id) = 4
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Capcom Play System"]/id) = 6
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Capcom Play System 2"]/id) = 7
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Capcom Play System 3"]/id) = 8
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Boy"]/id) = 9
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Boy Color"]/id) = 10
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Virtual Boy"]/id) = 11
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Boy Advance"]/id) = 12
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Gamecube"]/id) = 13
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Nintendo 64"]/id) = 14
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Nintendo DS"]/id) = 15
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Wii"]/id) = 16
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Wii U"]/id) = 18
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Megadrive 32X"]/id) = 19
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Sega 32X"]/id) = 19
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Mega-CD"]/id) = 20
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Sega CD"]/id) = 20
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Gear"]/id) = 21
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Saturn"]/id) = 22
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Dreamcast"]/id) = 23
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Neo-Geo AES"]/id) = 24
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Neo-Geo Pocket"]/id) = 25
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari 2600"]/id) = 26
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Jaguar"]/id) = 27
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Lynx"]/id) = 28
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "3DO"]/id) = 29
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "N-Gage"]/id) = 30
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PC Engine"]/id) = 31
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "TurboGrafx-16"]/id) = 31
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Xbox"]/id) = 32
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Xbox 360"]/id) = 33
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Another Arcade Emulator"]/id) = 35
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atom"]/id) = 36
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "BBC Micro"]/id) = 37
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari 800"]/id) = 38
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari 2600 Supercharger"]/id) = 39
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari 5200"]/id) = 40
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari 7800"]/id) = 41
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari ST"]/id) = 42
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atari XE"]/id) = 43
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Astrocade"]/id) = 44
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "WonderSwan"]/id) = 45
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "WonderSwan Color"]/id) = 46
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Cave"]/id) = 47
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Colecovision"]/id) = 48
